

LoanName;Month;Payment;Interest;Principal;BalanceAfter
CarLoan2025;47;8143.89;1220.67;6923.22;97706.01
CarLoan2025;48;8143.89;1139.90;7003.99;90702.02
CarLoan2025;49;8143.89;1058.19;7085.70;83616.32
CarLoan2025;50;8143.89;975.52;7168.37;76447.95
CarLoan2025;51;8143.89;891.89;7252.00;69195.95
CarLoan2025;52;8143.89;807.29;7336.60;61859.35
CarLoan2025;53;8143.89;721.69;7422.20;54437.15
CarLoan2025;54;8143.89;635.10;7508.79;46928.36
CarLoan2025;55;8143.89;547.50;7596.39;39331.97
CarLoan2025;56;8143.89;458.87;7685.02;31646.95
CarLoan2025;57;8143.89;369.21;7774.68;23872.27
CarLoan2025;58;8143.89;278.51;7865.38;16006.89
CarLoan2025;59;8143.89;186.75;7957.14;8049.75
CarLoan2025;60;8143.66;93.91;8049.75;0.00

LoanName;Month;Payment;Interest;Principal;BalanceAfter
ApartmentLoan;1;20911.00;16666.67;4244.33;2495755.67
ApartmentLoan;2;20911.00;16638.37;4272.63;2491483.04
ApartmentLoan;3;20911.00;16609.89;4301.11;2487181.93
ApartmentLoan;4;20911.00;16581.21;4329.79;2482852.14
ApartmentLoan;5;20911.00;16552.35;4358.65;2478493.49
ApartmentLoan;6;20911.00;16523.29;4387.71;2474105.78
ApartmentLoan;7;20911.00;16494.04;4416.96;2469688.82
ApartmentLoan;8;20911.00;16464.59;4446.41;2465242.41
ApartmentLoan;9;20911.00;16434.95;4476.05;2460766.36
ApartmentLoan;10;20911.00;16405.11;4505.89;2456260.47
ApartmentLoan;11;20911.00;16375.07;4535.93;2451724.54
ApartmentLoan;12;20911.00;16344.83;4566.17;2447158.37
ApartmentLoan;13;20911.00;16314.39;4596.61;2442561.76
ApartmentLoan;14;20911.00;16283.75;4627.25;2437934.51
ApartmentLoan;15;20911.00;16252.90;4658.10;2433276.41
ApartmentLoan;16;20911.00;16221.84;4689.16;2428587.25
ApartmentLoan;17;20911.00;16190.58;4720.42;2423866.83
ApartmentLoan;18;20911.00;16159.11;4751.89;2419114.94
ApartmentLoan;19;20911.00;16127.43;4783.57;2414331.37
ApartmentLoan;20;20911.00;16095.54;4815.46;2409515.91
ApartmentLoan;21;20911.00;16063.44;4847.56;2404668.35
ApartmentLoan;22;20911.00;16031.12;4879.88;2399788.47
ApartmentLoan;23;20911.00;15998.59;4912.41;2394876.06
ApartmentLoan;24;20911.00;15965.84;4945.16;2389930.90
ApartmentLoan;25;20911.00;15932.87;4978.13;2384952.77
ApartmentLoan;26;20911.00;15899.69;5011.31;2379941.46
ApartmentLoan;27;20911.00;15866.28;5044.72;2374896.74
ApartmentLoan;28;20911.00;15832.64;5078.36;2369818.38
ApartmentLoan;29;20911.00;15798.79;5112.21;2364706.17
ApartmentLoan;30;20911.00;15764.71;5146.29;2359559.88
ApartmentLoan;31;20911.00;15730.40;5180.60;2354379.28
ApartmentLoan;32;20911.00;15695.86;5215.14;2349164.14
ApartmentLoan;33;20911.00;15661.09;5249.91;2343914.23
ApartmentLoan;34;20911.00;15626.09;5284.91;2338629.32
ApartmentLoan;35;20911.00;15590.86;5320.14;2333309.18
ApartmentLoan;36;20911.00;15555.39;5355.61;2327953.57
ApartmentLoan;37;20911.00;15519.69;5391.31;2322562.26
ApartmentLoan;38;20911.00;15483.75;5427.25;2317135.01
ApartmentLoan;39;20911.00;15447.57;5463.43;2311671.58
ApartmentLoan;40;20911.00;15411.14;5499.86;2306171.72
ApartmentLoan;41;20911.00;15374.48;5536.52;2300635.20
ApartmentLoan;42;20911.00;15337.57;5573.43;2295061.77
ApartmentLoan;43;20911.00;15300.41;5610.59;2289451.18
ApartmentLoan;44;20911.00;15263.01;5647.99;2283803.19
ApartmentLoan;45;20911.00;15225.35;5685.65;2278117.54
ApartmentLoan;46;20911.00;15187.45;5723.55;2272393.99
ApartmentLoan;47;20911.00;15149.29;5761.71;2266632.28
ApartmentLoan;48;20911.00;15110.88;5800.12;2260832.16
ApartmentLoan;49;20911.00;15072.21;5838.79;2254993.37
ApartmentLoan;50;20911.00;15033.29;5877.71;2249115.66
ApartmentLoan;51;20911.00;14994.10;5916.90;2243198.76
ApartmentLoan;52;20911.00;14954.66;5956.34;2237242.42
ApartmentLoan;53;20911.00;14914.95;5996.05;2231246.37
ApartmentLoan;54;20911.00;14874.98;6036.02;2225210.35
ApartmentLoan;55;20911.00;14834.74;6076.26;2219134.09
ApartmentLoan;56;20911.00;14794.23;6116.77;2213017.32
ApartmentLoan;57;20911.00;14753.45;6157.55;2206859.77
ApartmentLoan;58;20911.00;14712.40;6198.60;2200661.17
ApartmentLoan;59;20911.00;14671.07;6239.93;2194421.24
ApartmentLoan;60;20911.00;14629.47;6281.53;2188139.71
ApartmentLoan;61;20911.00;14587.60;6323.40;2181816.31
ApartmentLoan;62;20911.00;14545.44;6365.56;2175450.75
ApartmentLoan;63;20911.00;14503.00;6408.00;2169042.75
ApartmentLoan;64;20911.00;14460.28;6450.72;2162592.03
ApartmentLoan;65;20911.00;14417.28;6493.72;2156098.31
ApartmentLoan;66;20911.00;14373.99;6537.01;2149561.30
ApartmentLoan;67;20911.00;14330.41;6580.59;2142980.71
ApartmentLoan;68;20911.00;14286.54;6624.46;2136356.25
ApartmentLoan;69;20911.00;14242.37;6668.63;2129687.62
ApartmentLoan;70;20911.00;14197.92;6713.08;2122974.54
ApartmentLoan;71;20911.00;14153.16;6757.84;2116216.70
ApartmentLoan;72;20911.00;14108.11;6802.89;2109413.81
ApartmentLoan;73;20911.00;14062.76;6848.24;2102565.57
ApartmentLoan;74;20911.00;14017.10;6893.90;2095671.67
ApartmentLoan;75;20911.00;13971.14;6939.86;2088731.81
ApartmentLoan;76;20911.00;13924.88;6986.12;2081745.69
ApartmentLoan;77;20911.00;13878.30;7032.70;2074712.99
ApartmentLoan;78;20911.00;13831.42;7079.58;2067633.41
ApartmentLoan;79;20911.00;13784.22;7126.78;2060506.63
ApartmentLoan;80;20911.00;13736.71;7174.29;2053332.34
ApartmentLoan;81;20911.00;13688.88;7222.12;2046110.22
ApartmentLoan;82;20911.00;13640.73;7270.27;2038839.95
ApartmentLoan;83;20911.00;13592.27;7318.73;2031521.22
ApartmentLoan;84;20911.00;13543.47;7367.53;2024153.69
ApartmentLoan;85;20911.00;13494.36;7416.64;2016737.05
ApartmentLoan;86;20911.00;13444.91;7466.09;2009270.96
ApartmentLoan;87;20911.00;13395.14;7515.86;2001755.10
ApartmentLoan;88;20911.00;13345.03;7565.97;1994189.13
ApartmentLoan;89;20911.00;13294.59;7616.41;1986572.72
ApartmentLoan;90;20911.00;13243.82;7667.18;1978905.54
ApartmentLoan;91;20911.00;13192.70;7718.30;1971187.24
ApartmentLoan;92;20911.00;13141.25;7769.75;1963417.49
ApartmentLoan;93;20911.00;13089.45;7821.55;1955595.94
ApartmentLoan;94;20911.00;13037.31;7873.69;1947722.25
ApartmentLoan;95;20911.00;12984.81;7926.19;1939796.06
ApartmentLoan;96;20911.00;12931.97;7979.03;1931817.03
ApartmentLoan;97;20911.00;12878.78;8032.22;1923784.81
ApartmentLoan;98;20911.00;12825.23;8085.77;1915699.04
ApartmentLoan;99;20911.00;12771.33;8139.67;1907559.37
ApartmentLoan;100;20911.00;12717.06;8193.94;1899365.43
ApartmentLoan;101;20911.00;12662.44;8248.56;1891116.87
ApartmentLoan;102;20911.00;12607.45;8303.55;1882813.32
ApartmentLoan;103;20911.00;12552.09;8358.91;1874454.41
ApartmentLoan;104;20911.00;12496.36;8414.64;1866039.77
ApartmentLoan;105;20911.00;12440.27;8470.73;1857569.04
ApartmentLoan;106;20911.00;12383.79;8527.21;1849041.83
ApartmentLoan;107;20911.00;12326.95;8584.05;1840457.78
ApartmentLoan;108;20911.00;12269.72;8641.28;1831816.50
ApartmentLoan;109;20911.00;12212.11;8698.89;1823117.61
ApartmentLoan;110;20911.00;12154.12;8756.88;1814360.73
ApartmentLoan;111;20911.00;12095.74;8815.26;1805545.47
ApartmentLoan;112;20911.00;12036.97;8874.03;1796671.44
ApartmentLoan;113;20911.00;11977.81;8933.19;1787738.25
ApartmentLoan;114;20911.00;11918.26;8992.74;1778745.51
ApartmentLoan;115;20911.00;11858.30;9052.70;1769692.81
ApartmentLoan;116;20911.00;11797.95;9113.05;1760579.76
ApartmentLoan;117;20911.00;11737.20;9173.80;1751405.96
ApartmentLoan;118;20911.00;11676.04;9234.96;1742171.00
ApartmentLoan;119;20911.00;11614.47;9296.53;1732874.47
ApartmentLoan;120;20911.00;11552.50;9358.50;1723515.97
ApartmentLoan;121;20911.00;11490.11;9420.89;1714095.08
ApartmentLoan;122;20911.00;11427.30;9483.70;1704611.38
ApartmentLoan;123;20911.00;11364.08;9546.92;1695064.46
ApartmentLoan;124;20911.00;11300.43;9610.57;1685453.89
ApartmentLoan;125;20911.00;11236.36;9674.64;1675779.25
ApartmentLoan;126;20911.00;11171.86;9739.14;1666040.11
ApartmentLoan;127;20911.00;11106.93;9804.07;1656236.04
ApartmentLoan;128;20911.00;11041.57;9869.43;1646366.61
ApartmentLoan;129;20911.00;10975.78;9935.22;1636431.39
ApartmentLoan;130;20911.00;10909.54;10001.46;1626429.93
ApartmentLoan;131;20911.00;10842.87;10068.13;1616361.80
ApartmentLoan;132;20911.00;10775.75;10135.25;1606226.55
ApartmentLoan;133;20911.00;10708.18;10202.82;1596023.73
ApartmentLoan;134;20911.00;10640.16;10270.84;1585752.89
ApartmentLoan;135;20911.00;10571.69;10339.31;1575413.58
ApartmentLoan;136;20911.00;10502.76;10408.24;1565005.34
ApartmentLoan;137;20911.00;10433.37;10477.63;1554527.71
ApartmentLoan;138;20911.00;10363.52;10547.48;1543980.23
ApartmentLoan;139;20911.00;10293.20;10617.80;1533362.43
ApartmentLoan;140;20911.00;10222.42;10688.58;1522673.85
ApartmentLoan;141;20911.00;10151.16;10759.84;1511914.01
ApartmentLoan;142;20911.00;10079.43;10831.57;1501082.44
ApartmentLoan;143;20911.00;10007.22;10903.78;1490178.66
ApartmentLoan;144;20911.00;9934.52;10976.48;1479202.18
ApartmentLoan;145;20911.00;9861.35;11049.65;1468152.53
ApartmentLoan;146;20911.00;9787.68;11123.32;1457029.21
ApartmentLoan;147;20911.00;9713.53;11197.47;1445831.74
ApartmentLoan;148;20911.00;9638.88;11272.12;1434559.62
ApartmentLoan;149;20911.00;9563.73;11347.27;1423212.35
ApartmentLoan;150;20911.00;9488.08;11422.92;1411789.43
ApartmentLoan;151;20911.00;9411.93;11499.07;1400290.36
ApartmentLoan;152;20911.00;9335.27;11575.73;1388714.63
ApartmentLoan;153;20911.00;9258.10;11652.90;1377061.73
ApartmentLoan;154;20911.00;9180.41;11730.59;1365331.14
ApartmentLoan;155;20911.00;9102.21;11808.79;1353522.35
ApartmentLoan;156;20911.00;9023.48;11887.52;1341634.83
ApartmentLoan;157;20911.00;8944.23;11966.77;1329668.06
ApartmentLoan;158;20911.00;8864.45;12046.55;1317621.51
ApartmentLoan;159;20911.00;8784.14;12126.86;1305494.65
ApartmentLoan;160;20911.00;8703.30;12207.70;1293286.95
ApartmentLoan;161;20911.00;8621.91;12289.09;1280997.86
ApartmentLoan;162;20911.00;8539.99;12371.01;1268626.85
ApartmentLoan;163;20911.00;8457.51;12453.49;1256173.36
ApartmentLoan;164;20911.00;8374.49;12536.51;1243636.85
ApartmentLoan;165;20911.00;8290.91;12620.09;1231016.76
ApartmentLoan;166;20911.00;8206.78;12704.22;1218312.54
ApartmentLoan;167;20911.00;8122.08;12788.92;1205523.62
ApartmentLoan;168;20911.00;8036.82;12874.18;1192649.44
ApartmentLoan;169;20911.00;7951.00;12960.00;1179689.44
ApartmentLoan;170;20911.00;7864.60;13046.40;1166643.04
ApartmentLoan;171;20911.00;7777.62;13133.38;1153509.66
ApartmentLoan;172;20911.00;7690.06;13220.94;1140288.72
ApartmentLoan;173;20911.00;7601.92;13309.08;1126979.64
ApartmentLoan;174;20911.00;7513.20;13397.80;1113581.84
ApartmentLoan;175;20911.00;7423.88;13487.12;1100094.72
ApartmentLoan;176;20911.00;7333.96;13577.04;1086517.68
ApartmentLoan;177;20911.00;7243.45;13667.55;1072850.13
ApartmentLoan;178;20911.00;7152.33;13758.67;1059091.46
ApartmentLoan;179;20911.00;7060.61;13850.39;1045241.07
ApartmentLoan;180;20911.00;6968.27;13942.73;1031298.34
ApartmentLoan;181;20911.00;6875.32;14035.68;1017262.66
ApartmentLoan;182;20911.00;6781.75;14129.25;1003133.41
ApartmentLoan;183;20911.00;6687.56;14223.44;988909.97
ApartmentLoan;184;20911.00;6592.73;14318.27;974591.70
ApartmentLoan;185;20911.00;6497.28;14413.72;960177.98
ApartmentLoan;186;20911.00;6401.19;14509.81;945668.17
ApartmentLoan;187;20911.00;6304.45;14606.55;931061.62
ApartmentLoan;188;20911.00;6207.08;14703.92;916357.70
ApartmentLoan;189;20911.00;6109.05;14801.95;901555.75
ApartmentLoan;190;20911.00;6010.37;14900.63;886655.12
ApartmentLoan;191;20911.00;5911.03;14999.97;871655.15
ApartmentLoan;192;20911.00;5811.03;15099.97;856555.18
ApartmentLoan;193;20911.00;5710.37;15200.63;841354.55
ApartmentLoan;194;20911.00;5609.03;15301.97;826052.58
ApartmentLoan;195;20911.00;5507.02;15403.98;810648.60
ApartmentLoan;196;20911.00;5404.32;15506.68;795141.92
ApartmentLoan;197;20911.00;5300.95;15610.05;779531.87
ApartmentLoan;198;20911.00;5196.88;15714.12;763817.75
ApartmentLoan;199;20911.00;5092.12;15818.88;747998.87
ApartmentLoan;200;20911.00;4986.66;15924.34;732074.53
ApartmentLoan;201;20911.00;4880.50;16030.50;716044.03
ApartmentLoan;202;20911.00;4773.63;16137.37;699906.66
ApartmentLoan;203;20911.00;4666.04;16244.96;683661.70
ApartmentLoan;204;20911.00;4557.74;16353.26;667308.44
ApartmentLoan;205;20911.00;4448.72;16462.28;650846.16
ApartmentLoan;206;20911.00;4338.97;16572.03;634274.13
ApartmentLoan;207;20911.00;4228.49;16682.51;617591.62
ApartmentLoan;208;20911.00;4117.28;16793.72;600797.90
ApartmentLoan;209;20911.00;4005.32;16905.68;583892.22
ApartmentLoan;210;20911.00;3892.61;17018.39;566873.83
ApartmentLoan;211;20911.00;3779.16;17131.84;549741.99
ApartmentLoan;212;20911.00;3664.95;17246.05;532495.94
ApartmentLoan;213;20911.00;3549.97;17361.03;515134.91
ApartmentLoan;214;20911.00;3434.23;17476.77;497658.14
ApartmentLoan;215;20911.00;3317.72;17593.28;480064.86
ApartmentLoan;216;20911.00;3200.43;17710.57;462354.29
ApartmentLoan;217;20911.00;3082.36;17828.64;444525.65
ApartmentLoan;218;20911.00;2963.50;17947.50;426578.15
ApartmentLoan;219;20911.00;2843.85;18067.15;408511.00
ApartmentLoan;220;20911.00;2723.41;18187.59;390323.41
ApartmentLoan;221;20911.00;2602.16;18308.84;372014.57
ApartmentLoan;222;20911.00;2480.10;18430.90;353583.67
ApartmentLoan;223;20911.00;2357.22;18553.78;335029.89
ApartmentLoan;224;20911.00;2233.53;18677.47;316352.42
ApartmentLoan;225;20911.00;2109.02;18801.98;297550.44
ApartmentLoan;226;20911.00;1983.67;18927.33;278623.11
ApartmentLoan;227;20911.00;1857.49;19053.51;259569.60
ApartmentLoan;228;20911.00;1730.46;19180.54;240389.06
ApartmentLoan;229;20911.00;1602.59;19308.41;221080.65
ApartmentLoan;230;20911.00;1473.87;19437.13;201643.52
ApartmentLoan;231;20911.00;1344.29;19566.71;182076.81
ApartmentLoan;232;20911.00;1213.85;19697.15;162379.66
ApartmentLoan;233;20911.00;1082.53;19828.47;142551.19
ApartmentLoan;234;20911.00;950.34;19960.66;122590.53
ApartmentLoan;235;20911.00;817.27;20093.73;102496.80
ApartmentLoan;236;20911.00;683.31;20227.69;82269.11
ApartmentLoan;237;20911.00;548.46;20362.54;61906.57
ApartmentLoan;238;20911.00;412.71;20498.29;41408.28
ApartmentLoan;239;20911.00;276.06;20634.94;20773.34
ApartmentLoan;240;20911.83;138.49;20773.34;0.00

LoanName;Month;Payment;Interest;Principal;BalanceAfter
ZeroInterestTest;1;3333.33;0.00;3333.33;116666.67
ZeroInterestTest;2;3333.33;0.00;3333.33;113333.34
ZeroInterestTest;3;3333.33;0.00;3333.33;110000.01
ZeroInterestTest;4;3333.33;0.00;3333.33;106666.68
ZeroInterestTest;5;3333.33;0.00;3333.33;103333.35
ZeroInterestTest;6;3333.33;0.00;3333.33;100000.02
ZeroInterestTest;7;3333.33;0.00;3333.33;96666.69
ZeroInterestTest;8;3333.33;0.00;3333.33;93333.36
ZeroInterestTest;9;3333.33;0.00;3333.33;90000.03
ZeroInterestTest;10;3333.33;0.00;3333.33;86666.70
ZeroInterestTest;11;3333.33;0.00;3333.33;83333.37
ZeroInterestTest;12;3333.33;0.00;3333.33;80000.04
ZeroInterestTest;13;3333.33;0.00;3333.33;76666.71
ZeroInterestTest;14;3333.33;0.00;3333.33;73333.38
ZeroInterestTest;15;3333.33;0.00;3333.33;70000.05
ZeroInterestTest;16;3333.33;0.00;3333.33;66666.72
ZeroInterestTest;17;3333.33;0.00;3333.33;63333.39
ZeroInterestTest;18;3333.33;0.00;3333.33;60000.06
ZeroInterestTest;19;3333.33;0.00;3333.33;56666.73
ZeroInterestTest;20;3333.33;0.00;3333.33;53333.40
ZeroInterestTest;21;3333.33;0.00;3333.33;50000.07
ZeroInterestTest;22;3333.33;0.00;3333.33;46666.74
ZeroInterestTest;23;3333.33;0.00;3333.33;43333.41
ZeroInterestTest;24;3333.33;0.00;3333.33;40000.08
ZeroInterestTest;25;3333.33;0.00;3333.33;36666.75
ZeroInterestTest;26;3333.33;0.00;3333.33;33333.42
ZeroInterestTest;27;3333.33;0.00;3333.33;30000.09
ZeroInterestTest;28;3333.33;0.00;3333.33;26666.76
ZeroInterestTest;29;3333.33;0.00;3333.33;23333.43
ZeroInterestTest;30;3333.33;0.00;3333.33;20000.10
ZeroInterestTest;31;3333.33;0.00;3333.33;16666.77
ZeroInterestTest;32;3333.33;0.00;3333.33;13333.44
ZeroInterestTest;33;3333.33;0.00;3333.33;10000.11
ZeroInterestTest;34;3333.33;0.00;3333.33;6666.78
ZeroInterestTest;35;3333.33;0.00;3333.33;3333.45
ZeroInterestTest;36;3333.45;0.00;3333.45;0.00

LoanName;Month;Payment;Interest;Principal;BalanceAfter
MicroLoan;1;463.17;83.33;379.84;4620.16
MicroLoan;2;463.17;77.00;386.17;4233.99
MicroLoan;3;463.17;70.57;392.60;3841.39
MicroLoan;4;463.17;64.02;399.15;3442.24
MicroLoan;5;463.17;57.37;405.80;3036.44
MicroLoan;6;463.17;50.61;412.56;2623.88
MicroLoan;7;463.17;43.73;419.44;2204.44
MicroLoan;8;463.17;36.74;426.43;1778.01
MicroLoan;9;463.17;29.63;433.54;1344.47
MicroLoan;10;463.17;22.41;440.76;903.71
MicroLoan;11;463.17;15.06;448.11;455.60
MicroLoan;12;463.19;7.59;455.60;0.00

StudentLoan;1;235.37;50.00;185.37;4814.63
StudentLoan;2;235.37;48.15;187.22;4627.41
StudentLoan;3;235.37;46.27;189.10;4438.31
StudentLoan;4;235.37;44.38;190.99;4247.32
StudentLoan;5;235.37;42.47;192.90;4054.42
StudentLoan;6;235.37;40.54;194.83;3859.59
StudentLoan;7;235.37;38.60;196.77;3662.82
StudentLoan;8;235.37;36.63;198.74;3464.08
StudentLoan;9;235.37;34.64;200.73;3263.35
StudentLoan;10;235.37;32.63;202.74;3060.61
StudentLoan;11;235.37;30.61;204.76;2855.85
StudentLoan;12;235.37;28.56;206.81;2649.04
StudentLoan;13;235.37;26.49;208.88;2440.16
StudentLoan;14;235.37;24.40;210.97;2229.19
StudentLoan;15;235.37;22.29;213.08;2016.11
StudentLoan;16;235.37;20.16;215.21;1800.90
StudentLoan;17;235.37;18.01;217.36;1583.54
StudentLoan;18;235.37;15.84;219.53;1364.01
StudentLoan;19;235.37;13.64;221.73;1142.28
StudentLoan;20;235.37;11.42;223.95;918.33
StudentLoan;21;235.37;9.18;226.19;692.14
StudentLoan;22;235.37;6.92;228.45;463.69
StudentLoan;23;235.37;4.64;230.73;232.96
StudentLoan;24;235.29;2.33;232.96;0.00

CarLoan2025;1;8143.89;4083.33;4060.56;345939.44
CarLoan2025;2;8143.89;4035.96;4107.93;341831.51
CarLoan2025;3;8143.89;3988.03;4155.86;337675.65
CarLoan2025;4;8143.89;3939.55;4204.34;333471.31
CarLoan2025;5;8143.89;3890.50;4253.39;329217.92
CarLoan2025;6;8143.89;3840.88;4303.01;324914.91
CarLoan2025;7;8143.89;3790.67;4353.22;320561.69
CarLoan2025;8;8143.89;3739.89;4404.00;316157.69
CarLoan2025;9;8143.89;3688.51;4455.38;311702.31
CarLoan2025;10;8143.89;3636.53;4507.36;307194.95
CarLoan2025;11;8143.89;3583.94;4559.95;302635.00
CarLoan2025;12;8143.89;3530.74;4613.15;298021.85
CarLoan2025;13;8143.89;3476.92;4666.97;293354.88
CarLoan2025;14;8143.89;3422.47;4721.42;288633.46
CarLoan2025;15;8143.89;3367.39;4776.50;283856.96
CarLoan2025;16;8143.89;3311.66;4832.23;279024.73
CarLoan2025;17;8143.89;3255.29;4888.60;274136.13
CarLoan2025;18;8143.89;3198.25;4945.64;269190.49
CarLoan2025;19;8143.89;3140.56;5003.33;264187.16
CarLoan2025;20;8143.89;3082.18;5061.71;259125.45
CarLoan2025;21;8143.89;3023.13;5120.76;254004.69
CarLoan2025;22;8143.89;2963.39;5180.50;248824.19
CarLoan2025;23;8143.89;2902.95;5240.94;243583.25
CarLoan2025;24;8143.89;2841.80;5302.09;238281.16
CarLoan2025;25;8143.89;2779.95;5363.94;232917.22
CarLoan2025;26;8143.89;2717.37;5426.52;227490.70
CarLoan2025;27;8143.89;2654.06;5489.83;222000.87
CarLoan2025;28;8143.89;2590.01;5553.88;216446.99
CarLoan2025;29;8143.89;2525.21;5618.68;210828.31
CarLoan2025;30;8143.89;2459.66;5684.23;205144.08
CarLoan2025;31;8143.89;2393.35;5750.54;199393.54
CarLoan2025;32;8143.89;2326.26;5817.63;193575.91
CarLoan2025;33;8143.89;2258.39;5885.50;187690.41
CarLoan2025;34;8143.89;2189.72;5954.17;181736.24
CarLoan2025;35;8143.89;2120.26;6023.63;175712.61
CarLoan2025;36;8143.89;2049.98;6093.91;169618.70
CarLoan2025;37;8143.89;1978.88;6165.01;163453.69
CarLoan2025;38;8143.89;1906.96;6236.93;157216.76
CarLoan2025;39;8143.89;1834.20;6309.69;150907.07
CarLoan2025;40;8143.89;1760.58;6383.31;144523.76
CarLoan2025;41;8143.89;1686.11;6457.78;138065.98
CarLoan2025;42;8143.89;1610.77;6533.12;131532.86
CarLoan2025;43;8143.89;1534.55;6609.34;124923.52
CarLoan2025;44;8143.89;1457.44;6686.45;118237.07
CarLoan2025;45;8143.89;1379.43;6764.46;111472.61
CarLoan2025;46;8143.89;1300.51;6843.38;104629.23
CarLoan2025;47;8143.89;1220.67;6923.22;97706.01
CarLoan2025;48;8143.89;1139.90;7003.99;90702.02
CarLoan2025;49;8143.89;1058.19;7085.70;83616.32
CarLoan2025;50;8143.89;975.52;7168.37;76447.95
CarLoan2025;51;8143.89;891.89;7252.00;69195.95
CarLoan2025;52;8143.89;807.29;7336.60;61859.35
CarLoan2025;53;8143.89;721.69;7422.20;54437.15
CarLoan2025;54;8143.89;635.10;7508.79;46928.36
CarLoan2025;55;8143.89;547.50;7596.39;39331.97
CarLoan2025;56;8143.89;458.87;7685.02;31646.95
CarLoan2025;57;8143.89;369.21;7774.68;23872.27
